Position,Const,Created,Modified,Description,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Your Rating,Date Rated
1,tt7366338,2022-02-11,2022-02-11,,"Chernobyl","Chernobyl",https://www.imdb.com/title/tt7366338/,TV Mini Series,9.3,60,2019,"Drama, History, Thriller",1006058,2019-05-07,,,
2,tt1492966,2022-02-11,2022-02-11,,"Louie","Louie",https://www.imdb.com/title/tt1492966/,TV Series,8.5,22,2010,"Comedy, Drama",84963,2013-01-22,,,
3,tt0028358,2022-02-11,2022-02-11,,"Things to Come","Things to Come",https://www.imdb.com/title/tt0028358/,Movie,6.6,117,1936,"Drama, Sci-Fi, War",9975,1936-09-14,"William Cameron Menzies",,
4,tt0060315,2022-03-18,2022-03-18,,"Django","Django",https://www.imdb.com/title/tt0060315/,Movie,7.2,91,1966,"Action, Drama, Western",33633,1966-09-23,"Sergio Corbucci",,
5,tt0109506,2022-04-08,2022-04-08,,"The Crow","The Crow",https://www.imdb.com/title/tt0109506/,Movie,7.5,102,1994,"Action, Crime, Drama, Fantasy, Horror, Thriller",228655,1994-06-10,"Alex Proyas",,
6,tt0113277,2022-05-15,2022-05-15,,"Heat","Heat",https://www.imdb.com/title/tt0113277/,Movie,8.3,170,1995,"Action, Crime, Drama",789061,1996-02-02,"Michael Mann",,
7,tt11138512,2022-05-15,2022-05-15,,"The Northman","The Northman",https://www.imdb.com/title/tt11138512/,Movie,7.0,137,2022,"Action, Adventure, Drama, Fantasy, History, Thriller",294368,2022-04-15,"Robert Eggers",,
8,tt14549466,2022-07-06,2022-07-06,,"Crimes of the Future","Crimes of the Future",https://www.imdb.com/title/tt14549466/,Movie,5.8,107,2022,"Drama, Horror, Sci-Fi, Thriller",46255,2022-09-09,"David Cronenberg",,
9,tt0079944,2022-07-06,2022-07-06,,"Stalker","Stalker",https://www.imdb.com/title/tt0079944/,Movie,8.0,162,1979,"Drama, Sci-Fi",155112,1981,"Andrei Tarkovsky",,
10,tt0066769,2022-07-24,2022-07-24,,"The Andromeda Strain","The Andromeda Strain",https://www.imdb.com/title/tt0066769/,Movie,7.2,131,1971,"Mystery, Sci-Fi, Thriller",43398,1971-03-12,"Robert Wise",,
11,tt2051879,2022-07-24,2022-07-24,,"Europa Report","Europa Report",https://www.imdb.com/title/tt2051879/,Movie,6.4,97,2013,"Drama, Mystery, Sci-Fi, Thriller",78707,2013-06-27,"Sebastián Cordero",,
12,tt2884206,2022-07-24,2022-07-24,,"I Origins","I Origins",https://www.imdb.com/title/tt2884206/,Movie,7.3,106,2014,"Drama, Mystery, Romance, Sci-Fi",139926,2014-09-25,"Mike Cahill",,
13,tt0756683,2022-07-24,2022-07-24,,"The Man from Earth","The Man from Earth",https://www.imdb.com/title/tt0756683/,Movie,7.8,87,2007,"Drama, Fantasy, Mystery, Sci-Fi",216336,2014-01-01,"Richard Schenkman",,
14,tt1371111,2022-07-24,2022-07-24,,"Cloud Atlas","Cloud Atlas",https://www.imdb.com/title/tt1371111/,Movie,7.3,172,2012,"Drama, Mystery, Sci-Fi, Thriller",384978,2013-02-22,"Tom Tykwer, Lana Wachowski, Lilly Wachowski",,
15,tt0181689,2022-07-24,2022-07-24,,"Minority Report","Minority Report",https://www.imdb.com/title/tt0181689/,Movie,7.6,145,2002,"Action, Crime, Mystery, Sci-Fi, Thriller",615921,2002-07-04,"Steven Spielberg",,
